year,month,wikinews
2005,07,104
2005,08,111
2005,09,156
2005,10,144
2005,11,51
2005,12,73
2006,01,76
2006,02,58
2006,03,74
2006,04,44
2006,05,88
2006,06,72
2006,07,82
2006,08,100
2006,09,99
2006,10,68
2006,11,89
2006,12,71
2007,01,45
2007,02,20
2007,03,14
2007,04,20
2007,05,30
2007,06,24
2007,07,22
2007,08,32
2007,09,20
2007,10,45
2007,11,37
2007,12,49
2008,01,49
2008,02,49
2008,03,30
2008,04,28
2008,05,37
2008,06,46
2008,07,35
2008,08,36
2008,09,30
2008,10,27
2008,11,24
2008,12,23
2009,01,25
2009,02,15
2009,03,18
2009,04,5
2009,05,16
2009,06,10
2009,07,40
2009,08,75
2009,09,55
2009,10,65
2009,11,41
2009,12,32
2010,01,46
2010,02,23
2010,03,15
2010,04,15
2010,05,30
2010,06,34
2010,07,39
2010,08,27
2010,09,19
2010,10,15
2010,11,14
2010,12,11
2011,01,14
2011,02,7
2011,03,3
2011,04,9
2011,05,10
2011,06,5
2011,07,6
2011,08,8
2011,09,11
2011,10,12
2011,11,9
2011,12,14
2012,01,6
2012,02,6
2012,03,12
2012,04,3
2012,05,6
2012,06,5
2012,07,7
2012,08,9
2012,09,5
2012,10,9
2012,11,5
2012,12,16
2013,01,9
2013,02,11
2013,03,12
2013,04,5
2013,05,3
2013,06,2
2013,07,5
2013,09,2
2013,10,3
2013,11,1
2013,12,5
2014,01,6
2014,02,9
2014,03,6
2014,04,12
2014,05,8
2014,06,25
2014,07,43
2014,08,27
2014,09,19
2014,10,9
2014,11,15
2014,12,5
2015,01,3
2015,03,5
2015,04,5
2015,05,5
2015,06,1
2015,08,3
2015,09,24
2015,10,9
2015,11,7
2015,12,2
2016,01,11
2016,02,16
2016,04,4
2016,05,10
2016,06,6
2016,07,18
2016,08,34
2016,09,2
2016,10,1
2016,11,1
2016,12,1
2017,01,4
2017,02,2
2017,06,1
2017,07,1
2017,08,9
2017,10,1
2018,03,2
2018,06,2
2018,07,2
2018,08,1
2018,09,1
2020,04,1
2020,07,5
2020,08,6
2020,09,1
2020,11,1
2020,12,6
2021,01,9
2021,02,3
2021,03,1
2021,04,1
2021,06,1
2021,07,3
2021,08,2
2021,09,1
2021,10,7
2021,11,9
2022,02,1
2022,05,1
2022,06,1
2022,09,6
2022,10,11
2022,11,9
2022,12,4
2023,01,13